"كد شركت";"كد دوره";"Field3";"سر فصل";"زيرفصل";"ادامه زيرفصل"
5;23220;6;"	تعيين حداقل سطح تبادل حرارت";;
6;23220;7;"	تعيين هزينه كل شبكه تبادل هاي حرارت";"1- مقدمه اي بر هزينه كل 2-هدف گذاري براي حداقل هزينه كل3-تعيين مقدار بهينه حداقل نيروي محركه دمايي";
7;23220;8;"	تعيين حداقل پوسته هاي مورد نياز براي شبكه";;
;23220;9;"	طراحي براي مبدل هايي با جنس هاي متفاوت";;
;23220;10;"	تركيب بهينه سرويس هاي جفتي گوناگون";;
;23220;11;"	چگونگي چيدمان مناسب كوره ها در شبكه هاي تبادل حرارت";;
;23220;12;"	چگونگي چيدمان مناسب كوره هاي حرارتي در شبكه هاي تبادل حرارت";;
;23220;13;"چگونگي چيدمان مناسب پمپ هاي حرارتي در شبكه هاي تبادل حرارت";;
;23220;14;"چگونگي چيدمان مناسب برج هاي تقطير در شبكه هاي تبادل حرارت";;
;23220;15;"	معرفي نرم افزارهاي مرتبط";;
;23220;16;"	طراحي براي رسيدن به حداقل واحدهاي تبادل حرارت";"1- حلقه و گذر2- شكستن حلقه و كاهش واحدهاي تبادل حرارت3- تفكيك جريان";
;23220;17;"	طراحي براي رسيدن به اهداف انرژي";"1-دياگرام پنجره اي شبكه تبادل هاي حرارتي2-روش طراحي pinch";
;23220;18;"	تعيين حداقل واحدهاي تبادل حرارت در شبكه";"1- قاعده لوتر";
;23220;19;"	تعيين اهداف انرژي براي شبكه هاي تبادل حرارت";"1-مباني بازيافت حرارت 2- بازيافت حرارت در فرايندهاي چند جرياني3-رسم دياگرام آبشاري و تعيين اهداف انرژي4-تعيين نقطه pinch بازيافت حرارت";
;23220;20;"	تبيين درهم تنيدگي فرايندها";;
;17442;10;"	شناخت انواع مغناطيس ماركرها كه قبل از پيگ راني بايد روي لوله نصب شوند";;
;17442;11;"	نحوه محاسبه دبي در خطوط لوله";;
;17442;12;"	نحوه محاسبه سرعت پيگ در خط لوله";;
;17442;13;"	نحوه محاسبه حجم گاز تخليه شده در blow down در زمان پيگ راني";;
;17442;14;"	نحوه محاسبه اقتصاد مهندسي در پيگ راني خطوط";;
;17442;15;"	معرفي انواع پيگهاي هوشمند و بررسي فيزيك و نوع تكنولوژي و محدوديتها و trade off هاي مهندسي در انتخاب هر يك از پيگ هاي gauging – emat-epg-geo pig، video pig – mfl-ut-tfi";;
;17442;16;"
16-	نحوه ارتباط گزارشهاي پيگ راني هوشمند با نرم افزار gis";;
;17442;17;"	بررسي خطاهاي اندازه گيري pio و pod هر كدام از پيگها در هر عيب به تفكيك";;
;17442;18;"	نحوه پيداكردن عيوب پوشش در emat";;
;17442;19;"مراحل اجراي يك پروژه پيگ راني هوشمند";;
;17442;20;"	نحوه بررسي اوليه و انتخاب خط جهت پيگ راني هوشمند برنامه ريزي و پيمان سپاري و مراحل اجراي عمليات و مكانيزم بررسي نتايج پيگ راني هوشمند";;
;17442;21;"	ترتيب اجراي پيگ هاي مختلف";;
;17442;22;"	نحوه verification نتايج پيگ هاي هوشمند";;
;17442;23;"	بررسي گزارشهاي operation، final reports، preliminary reports";;
;17442;24;"	نكات مهم در حفاري و انتخاب نقاط براي verification";;
;17442;25;"	محاسبات عددي  براي ارزيابي نتايج پيگ راني هوشمند";;
;17442;26;"	نحوه استفاده از تست هاي ndt در ارزيابي عيوب";;
;17442;27;"1-	بررسي و شناخت استانداردهاي مرتبط با پيگ راني هوشمند از قبيل  dot-ap11163-pof-asnt rp0102 2005 ilipo-49cfr part 192 براي خطوط گاز و 49cir part195 براي خطوط نفت";;
;17442;28;"	بررسي ويژگي پرسنل و متخصصين مورد استفاده در پيگ راني هوشمند";;
;17442;29;"	نكات hse در پيگ راني";;
;17442;30;"	مبحث clustering براي عيوب نزديك بهم";;
;17442;31;"	آشنايي با چالش هاي پيگ راني هوشمند";;
;17442;32;"	نحوه محاسبه erf در استانداردهاي مختلف";;
;860;1;"	تعيين استراتژي و مدل نمونه برداري";;
;860;2;"	دسته بندي و تعيين گروههاي مشابه با ميزان مواجهه هاي يكسان";;
;860;3;"	روشهاي نمونه برداري محيطي و فردي";;
;860;4;"	مدلهاي رياضي و تجزيه و تحليلهاي آماري از نتايج كمي بدست آمده با نرم افزارهاي مرتبط";;
;860;5;"	تفسير نتايج بر اساس مدل  Bayesian";;
;860;6;"	ابزارهاي تصميم گيري و تفسير و نتيجه گيري بر اساس نتايج كمي بدست آمده";;
;861;1;"	Preparation";;
;861;2;"	Setting the Agenda";;
;861;3;"	Taking Stand";;
;861;4;"	Conflict Management";;
;861;5;"	Suggesting";;
;861;6;"	Bargaining";;
;861;7;"	Summarizing";;
;;;;;
;113;;;;
;269;;"Administering the Scheduler";;
;269;;"Automating Tasks with the Scheduler";;
;269;;"Diagnosing the Database";;
;269;;"Globalization";;
;269;;"Managing Database Performance";;
;269;;"Managing Memory";;
;269;;"Managing Resources";;
;269;;"Monitoring and Tuning RMAN";;
;269;;"Performing Tablespace Point-in-time Recovery";;
;269;;"Using Flashback Database";;
;269;;"Using Flashback Technology";;
;269;;"Using RMAN to Duplicate a Database";;
;269;;"Using the Segment Advisor";;
;273;;"از روي کتاب تخصصي زبان انگليسي کامپيوتر";;
;294;;"Configuring and Deploying Applications in Windows Presentation Foundation";;
;294;;"Creating New Controls";;
;294;;"Graphics and Multimedia";"2-D , 3-D";
;294;;"Managing Documents";"Flow Documents,Fixed Documents,Packaging Documents,Printing Documents";
;578;1;"	انواع سوختهاي نانوامولسيوني";;
;578;2;"	آشنايي با امولسي فايرهاي مختلف و روشهاي اختلاط آنها براي سوختها";;
;578;3;"	بررسي مكانيسم بهبود احتراقي نانو امولسيوني";;
;578;4;"	محاسبه ميزان بهسوزي سوختهاي نانوامولسيوني";;
;578;5;"	مزيتهاي سوختهاي نانوامولسيوني نسبت به سوختهاي معمولي";;
;578;6;"	نحوه انبارش و نگهداري سوختهاي نانو امولسيوني";;
;578;7;"تاثير سوختهاي نانوامولسيوني بر روي كاركرد موتورها";;
;582;;;;
