"كد دوره در نفت";"ترتيب";"كد دوره";"كد تخصصي";"ساعت";"عنوان دوره";"عنوان گروه تخصصي";"نوع دوره";"كد پيش نياز";"حداكثر ظرفيت";"اهداف دوره";"شرايط شركت كنندگان";"نحوه اجرا";"تجهيزات مورد نياز";"فضاي آموزشي";"روش تدريس";"منابع آموزشي";"شرايط مدرس";"مقطع تحصيلي و رشته";"تجربه تدريس";"تجربه حرفه اي";"سطح ارزيابي";"روش ارزيابي";"شاخص ارزيابي";"توضيحات";"شاخص ارزيابي1111";"شاخص ارزيابي11111"
0;21432;;"214";24;"سيستم مديريت ايمني فرآيند (PSM)";"HSE - ايمني و آتش نشاني";"شغلي";;25;"از صادقپور";;"حضوري";;;;;;;"3 سال";"5 سال";"يادگيري";"آزمون";"70%";;;
1;13401;;"134";16;"آشنايي با روشهاي تحليل گري مشاغل";"پشتيباني و ستاد - منابع انساني - برنامه ريزي";"شغلي";;20;"شناخت روشهاي تحليلگري مشاغل";"كليه كارشناسان واحدهاي برنامه ريزي نيروي انساني/ امور سازماني / بهبود روش ها";"حضوري";;"كلاس";"تئوري";"كتاب - نرم افزار";;"فوق ليسانس مديريت دولتي /مديريت منابع انساني / صنايع";"3 سال";"5 سال";"يادگيري";;;;;
2;20401;;"204";32;"زبان تخصصي مديريت منابع انساني - Human Resources Management";"زبان تخصصي - مشاغل غيرفني";"شغلي";"06012";15;"تسلط و توانايي مطالعه منابع زبان اصلي مديريت منابع انساني";"كاركنان، روسا و مديران واحدهاي پژوهشي و ساير واحدهاي مديريت منابع انساني";"حضوري";;"كلاس";"تئوري";"كتاب";"تسلط كامل يه زبان انگليسي و مديريت و داشتن مدرك TTI يا TTC يا TKTالزامي است";"فوق ليسانس مديريت";"5";"7";"يادگيري";"آزمون";"ارائه مطلب يك نمونه پيشنهادي توسط فراگيران و 70%";;;
3;20402;;"204";32;"زبان تخصصي مديريت - Management";"زبان تخصصي - مشاغل غيرفني";"شغلي";"06012";15;"تسلط و توانايي مطالعه منابع زبان اصلي رفتار سازماني";"كاركنان، روسا و مديران واحدهاي پژوهشي و ساير واحدهاي مديريت منابع انساني";"حضوري";;"كلاس";"تئوري";"كتاب";"تسلط كامل يه زبان انگليسي و مديريت و داشتن مدرك TTI يا TTC يا TKTالزامي است";"فوق ليسانس مديريت";"5";"7";"يادگيري";"آزمون";"ارائه مطلب يك نمونه پيشنهادي توسط فراگيران و 70%";;;
4;13313;;"133";8;"طراحي و ترسيم فرآيندها و دستورالعملهاي آموزشي";"پشتيباني و ستاد - منابع انساني - آموزش";"شغلي";;12;"آشنايي با فرآيندهاي آموزشي و تدوين دستورالعمل";"كارشناسان آموزش";"حضوري";;"كارگاه";"تئوري";"كتاب/ جزوه";;"فوق ليسانس مديريت آموزش/برنامه ريزي آموزش";"3سال";"5سال";"يادگيري";;;;;
5;13314;;"133";8;"بودجه بندي آموزش";"پشتيباني و ستاد - منابع انساني - آموزش";"شغلي";;20;"آشنايي با مكانيزم بودجه بندي آموزش";"كارشناسان آموزش";"حضوري";;"كلاس";"تئوري";"كتاب/ جزوه";;"فوق ليسانس مديريت مالي/حسابداري / مديريت آموزشي / مديريت صنعتي";"3سال";"5سال";"يادگيري";;;;;
6;13315;;"133";16;"آموزش مجازي (E-learning)";"پشتيباني و ستاد - منابع انساني - آموزش";"شغلي";;20;"آشنايي با الزامات آموزش مجازي";"كارشناسان آموزش";"حضوري";;"كلاس";"تئوري-عملي";"كتاب/ جزوه/نرم افزار";;"فوق ليسانس مهندسي صنايع/مديريت آموزش/مهندسي كامپيوتر";"3سال";"5سال";"يادگيري";;;;;
7;13316;;"133";16;"برنامه ريزي استراتژيك آموزش";"پشتيباني و ستاد - منابع انساني - آموزش";"شغلي";;20;"آشنايي با تدوين ،اجرا و ارزيابي  استراتژيهاي آموزش";"كارشناسان آموزش";"حضوري";;"كلاس";"تئوري";"كتاب";;"فوق ليسانس مديريت استراتژيك";"3سال";"7سال";"يادگيري";;;;;
8;13317;;"133";16;"بازگشت سرمايه در آموزش";"پشتيباني و ستاد - منابع انساني - آموزش";"شغلي";;20;"آشنايي با بازگشت سرمايه در آموزش";"كارشناسان آموزش";"حضوري";;"كلاس";"تئوري";"كتاب/ جزوه";;"فوق ليسانس مديريت مالي/مديريت آموزشي";"3سال";"7سال";"يادگيري";;;;;
9;11001;"11001";"110";24;"بررسي مواردخاص و مباحث جاري در حسابداري";"پشتيباني و ستاد - مالي";"شغلي";;20;"آشنايي با مباحث جاري و خاص در حسابداري";"كارشناسان امور مالي";"حضوري";;"كلاس";"تئوري";"كتاب";;"فوق ليسانس حسابداري";"3 سال";"5 سال";"واكنشي";;;;;
10;11002;"11002";"110";24;"حسابداري پيشرفته در صنعت نفت";"پشتيباني و ستاد - مالي";"شغلي";;20;"آشنايي با نحوه تهيه و تنظيم صورتهاي مالي تلفيقي";"كارشناسان حسابداري";"حضوري";;"كلاس";"تئوري";"كتاب";;"فوق ليسانس حسابداري";"3 سال";"5 سال";"واكنشي";;"60 از 100";;;
11;13701;;"137";8;"آشنايي با كارآفريني";"پشتيباني و ستاد - منابع انساني - كارآفريني";"عمومي";;20;"هدف از برگزاري اين دوره آشنايي مخاطبين با اصول و مفاهيم پايه اي دانش كارآفريني مي باشد.";"كليه كاركنان";"حضوري";;"كلاس";"تئوري";"كتاب - جزوه";;"فوق ليسانس رشته كارآفريني، مديريت و مهندسي صنايع و يا مدرك مربي گري كارآفريني";"3 سال";"4 سال";"واكنشي";"نظرسنجي";;;;
12;13702;;"137";16;"كارآفريني سازماني";"پشتيباني و ستاد - منابع انساني - كارآفريني";"عمومي";"11";20;"هدف از برگزاري اين دوره آشنايي مقدماتي مخاطبين با اصول و مفاهيم پلايه اي كارآفريني سازماني و مزاياي شكل گيري و توسعه آن مي باشد.";"كليه كاركنان";"حضوري";;"كلاس";"تئوري-عملي";"كتاب - جزوه";;"فوق ليسانس رشته كارآفريني، مديريت و مهندسي صنايع و يا مدرك مربي گري كارآفريني";"3 سال";"4 سال";"واكنشي";"نظرسنجي";;;;
13;13703;;"137";8;"كارآفريني سازماني (ويژه مديران و سرپرستان)";"پشتيباني و ستاد - منابع انساني - كارآفريني";"بهبود مديريت";"11";20;"هدف از برگزاري اين دوره آشنايي مخاطبين با اصول و مباني كارآفريني سازماني و نقش موثر ايشان در تسريع و تسهيل اين فرآيند در سازمان مي باشد.";"كليه روسا، سرپرستان و مديران سازمان مي توانند در اين دوره حضور يابند.";"حضوري";;"كلاس";"تئوري-عملي";"كتاب - جزوه";;"فوق ليسانس رشته كارآفريني، مديريت و مهندسي صنايع و يا مدرك مربي گري كارآفريني";"3 سال";"4 سال";"واكنشي";"نظرسنجي";;;;
14;13704;;"137";16;"تدوين طرحهاي توجيهي پروژه هاي كارآفرينانه (BP)";"پشتيباني و ستاد - منابع انساني - كارآفريني";"عمومي";"12";20;"هدف از برگزاري اين دوره آشنايي مخاطبين با شيوه نوشتن طرح توجيهي براي پروژه هاي كارآفرينانه مي باشد.";"كليه كاركنان";"حضوري";;"كلاس";"تئوري-عملي";"كتاب - جزوه";;"فوق ليسانس رشته كارآفريني، مديريت و مهندسي صنايع يا داراي مدرك مربي گري كارآفريني";"3 سال";"4 سال";"يادگيري";"آزمون";"60 از 100";;;
15;63008;;"630";32;"ASPEN ENERGY ANALYZER -انتگراسيون حرارتي فرايندهاي شيميايي به كمك نرم افزار";"طراحي و مهندسي فرآيند - نرم افزارها";"شغلي";"63001";15;"آشنايي با تكنولوژي PINCH و انتگراسيون حرارتي فرايندهاي شيميايي";"كارشناسان مهندسي فرايند";"حضوري";;"كارگاه";"تئوري-عملي";"كتاب - جزوه - نرم افزار";;"كارشناس ارشد مهندسي شيمي";"1";"3";"رفتاري";"آزمون";"تحويل پروژه";;;
16;63014;;"630";32;"ASPEN FLARE NET - طراحي شبكه FLARE  به كمك  نرم افزار";"طراحي و مهندسي فرآيند - نرم افزارها";"شغلي";;15;"آشنايي با اصول و مقدمات طراحي شبكه FLARE و روش پياده سازي آن در شبيه سازي ASPEM FLARE NET";"كارشناسان مهندسي فرايند";"حضوري";;"كارگاه";"تئوري-عملي";"كتاب - جزوه - نرم افزار";;"كارشناس ارشد مهندسي شيمي";"1";"3";"رفتاري";"آزمون";"تحويل پروژه";;;
17;63013;;"630";40;"ASPEN HEAT EXCHANGER DESIGN & RATING -  طراحي مبدلهاي حرارتي با استفاده از نرم افزار";"طراحي و مهندسي فرآيند - نرم افزارها";"شغلي";"63001";15;"توانمندسازي شركت كنندگان در طراحي انواع مبدلهاي حرارتي به كمك نرم افزار  ASPEN HEAT EXCHANGER DESIGN & RATING";"كارشناسان مهندسي فرايند";"حضوري";;"كارگاه";"تئوري-عملي";"كتاب - جزوه - نرم افزار";;"كارشناس ارشد مهندسي شيمي";"1";"3";"يادگيري";"آزمون";"تحويل پروژه";;;
18;63009;;"630";32;"ASPEN IPE - براورد هزينه هاي سرمايه گذاري پروژه هاي صنعتي به كمك نرم افزار ASPEN ICARUS PROCESS EVALUATOR";"طراحي و مهندسي فرآيند - نرم افزارها";"شغلي";;15;"آموزش مفاهيم اساسي و معرفي نرم افزار جهت براورد سريع و دقيق ميزان سرمايه گذاري و انجام ارزيابي اقتصادي طرحهاي پيشنهادي در صنايع شيميايي";"كارشناسان مهندسي فرايند";"حضوري";;"كارگاه";"تئوري-عملي";"كتاب - جزوه - نرم افزار";;"كارشناس ارشد مهندسي شيمي";"1";"3";"يادگيري";"آزمون";"تحويل پروژه";;;
19;63012;;"630";32;"ASPEN MUSE/MUSC/MULE- طراحي مبدلهاي خاص به كمك  نرم افزار هاي";"طراحي و مهندسي فرآيند - نرم افزارها";"شغلي";;15;"آشنايي با طراحي و شبيه سازي مبدلهاي ترموسيفون و PLATE FIN  به كمك نرم افزار  ASPEN MUSE /شبيه سازي لايه به لايه مبدلهاي PLATE FIN به كمك نرم افزار ASPEN MULE و شبيه سازي مبدلهاي CROSS FLOW  به كمك نرم افزار  MUSE";"كارشناسان مهندسي فرايند";"حضوري";;"كارگاه";"تئوري-عملي";"كتاب - جزوه - نرم افزار";;"كارشناس ارشد مهندسي شيمي";"1";"3";"رفتاري";"آزمون";"تحويل پروژه";;;
20;12010;;"120";16;"بازاريابي با  استفاده از شبكه جهاني(اينترنت)";"پشتيباني و ستاد - بازرگاني";"شغلي";;20;"ابزارها و سازگارهاي بازاريابي از طريق اينترنت  را تشريح نمايد";"مديران، سرپرستان و كارشناسان بازرگاني";"حضوري";;"كلاس";"تئوري-عملي";"جزوه - نرم افزار";;"فوق ليسانس مديريت بازرگاني /MBA";"3 سال";"5 سال";"يادگيري";;;;;
