"كد دوره";"كد دوره در نفت";"کد دوره در پالايش و پخش";"کد دوره در گاز";"کد دوره در پتروشيمي"
41001;14463;;;
41002;20746;;;
41003;15373;;;
41004;-;;;
41005;23428;;;
41006;10153;;;
41007;-;;;
41008;19057;;;
41009;22533;;;
41010;16817;;;
41011;170872;;;
41012;38009;;;
41013;18397;;;
41014;17088;;;
41015;-;;;
41016;15195;;;
41017;151953;;;
41018;151951;;;
41019;151952;;;
41020;230101;;;
41021;23010;;;
41022;23020;;;
41023;-;;;
41024;-;;;
41025;-;;;
41026;-;;;
41027;14476;;;
41028;10859;;;
41029;-;;;
41030;-;;;
41031;-;;;
41032;-;;;
41033;-;;;
41034;-;;;
41035;-;;;
41036;-;;;
41037;-;;;
41038;12863;;;
41039;20366;;;
41040;20367;;;
41041;20898;;;
41042;20892;;;
41043;22330;;;
41044;-;;;
41045;-;;;
41046;20800;;;
41047;-;;;
41048;20895;;;
41049;-;;;
41050;23009;;;
41051;22329;;;
41052;12883;;;
41053;12884;;;
41054;12864;;;
41055;12882;;;
41056;23620;;;
41057;-;;;
41058;-;;;
41059;-;;;
41060;-;;;
41061;20896;;;
41062;-;;;
41063;23019;;;
41064;17985;;;
41065;12885;;;
41066;-;;;
41067;20249;;;
41068;-;;;
41069;12352;;;
41070;-;;;
41071;-;;;
41072;-;;;
41073;23427;;;
41074;-;;;
41075;-;;;
41076;-;;;
41077;-;;;
41078;-;;;
41079;13015;;;
41080;-;;;
41081;-;;;
41082;-;;;
41083;-;;;
41084;-;;;
41085;18075;;;
41086;-;;;
41087;-;;;
41088;16370;;;
41089;-;;;
41090;-;;;
41091;-;;;
41092;-;;;
41093;-;;;
41094;-;;;
41095;-;;;
41096;21812;;;
41097;10453;;;
41098;-;;;
41099;20767;;;
41100;-;;;
41101;-;;;
41102;-;;;
41103;-;;;
40001;23749;;;
40002;17166;;;
40003;16840;;;
40004;-;;;
40005;-;;;
40006;-;;;
40007;10757;;;
42001;-;;;
42002;17388;;;
42003;-;;;
42004;23018;;;
42005;22557;;;
42006;-;;;
42007;-;;;
42008;20755;;;
42009;22950;;;
42010;-;;;
42011;18632;;;
42012;21247;;;
42013;-;;;
42014;-;;;
42015;-;;;
42016;-;;;
42017;-;;;
42018;-;;;
42019;18914;;;
42020;-;;;
42021;21377;;;
42022;-;;;
42023;16836;;;
42024;-;;;
42025;17021;;;
42026;14454;;;
42027;18189;;;
42028;-;;;
42029;-;;;
42030;12976;;;
42031;-;;;
42032;-;;;
42033;17164;;;
42034;21906;;;
42035;21560;;;
42036;-;;;
42037;-;;;
42038;17063;;;
42039;--;;;
42040;-;;;
42041;14444;;;
42042;-;;;
42043;15345;;;
42044;18665;;;
42045;21319;;;
42046;16530;;;
42047;-;;;
42048;23272;;;
42049;20843;;;
42050;20398;;;
42051;-;;;
42052;23169;;;
13901;19098;;3021-3054-30029-30030-80116-3224;
13902;-;;1185-40005-3894-40006-40007-46003-1186;
13903;22800;;1106;
13904;23722;;80115;
13905;12617;;1106;
13906;23727;;1097-40032;
13907;23691;;-;
13908;20804;;3030;
13909;19097;;-;
13910;23719;;1108-3203;
13911;11723;;-;
13912;20809;;30085;
13913;19099;;-;
13914;18423;;30029-3021-3054;
13915;20111;;1109-3073;
13916;-;;40033;
13917;20021;;1134-40009-1110;
13918;-;;-;
13919;-;;-;
13920;-;;-;
13921;14538;;3825-30024-3214-30070-1252-2870-3146;
13922;16483;;3626;
13923;20808;;-;
13924;23726;;-;
13925;;;;120015
23001;15440;;;
23002;15441;;;
23003;16403;;;
23004;13073;;;
23005;21173;;;
23006;15434;;;
23007;16681;;;
23008;20517;;;
23009;;;;
23010;17398;;;
23011;22464;;;
23012;17711;;;
23013;;;;
23014;22465;;;
23015;;;;
23016;;;;
23017;;;;
23018;17000;;;
23019;;;;
23020;18437;;;
23021;;;;
23022;;;;
23023;;;;
23024;;;;
23025;23793;;;
23026;;;;
23027;;;;
23028;;;;
23029;23580;;;
23030;;;;
23031;;;;
23032;;;;
23033;;;;
23034;21459;;;
23035;22212;;;
23036;;;;
23037;;;;
23038;15426;;;
23039;16941;;;
23040;;;;
23041;;;;
23042;;;;
23043;;;;
23044;;;;
23045;;;;
23046;;;;
23047;;;;
23048;;;;
23049;;;;
23050;;;;
23051;;;;
23052;;;;
23053;;;;
23054;;;;
23055;;;;
23056;22815;;;
23057;;;;
23058;;;;
23059;;;;
23060;18232;;;
23061;18417;;;
23062;18099;;;
23063;18168;;;
23064;;;;
23065;22822;;;
23066;;;;
23067;;;;
23068;21142;;;
23069;18184;;;
23070;22682;;;
23071;;;;
23072;;;;
23073;;;;
23074;21651;;;
23075;12471;;;
23076;;;;
23077;;;;
23078;18179;;;
23079;;;;
23080;18170;;;
23081;12576;;;
23082;14587;;;
23083;17627;;;
23084;;;;
23085;;;;
23086;;;;
23087;16426;;;
23088;;;;
61001;-;;;
61002;20175;;;
61003;-;;;
61004;16975;;;
61005;;;;
61006;;;;
61007;;;;
61008;;;;
61009;;;;
61010;;;;
61011;;;;
61012;;;;
61013;18601;;;
61014;18592;;;
61015;20378;;;
61016;23479;;;
61017;-;;;
61018;23219;;;
61019;13070;;;
61020;-;;;
61021;23220;;;
61022;-;;;
61023;;;;
61024;;;;
61025;15160;;;
61026;22906;;;
61027;18762;;;
61028;15179;;;
61029;18844;;;
61030;12286;;;
61031;18594;;;
61032;16442;;;
61033;12179;;;
61034;21302;;;
61035;-;;;
61036;155481;;;
61037;17442;;;
61038;16641;;;
61039;21219;;;
61040;15541;;;
61041;15262;;;
61042;22905;;;
61043;-;;;
61044;14199;;;
61045;-;;;
61046;15549;;;
61047;16614;;;
61048;12983;;;
61049;-;;;
61050;21310;;;
61051;-;;;
61052;10075;;;
61053;-;;;
61054;18604;;;
61055;15540;;;
61056;-;;;
61057;-;;;
61058;;;;
61059;17266;;;
61060;23432;;;
61061;-;;;
61062;23424;;;
61063;-;;;
65001;-;;;
65002;-;;;
65003;20932;;;
65004;18795;;;
65005;18079;;;
65006;20913;;;
65007;10247;;;
65008;15161;;;
65009;17289;;;
65010;16536;;;
65011;18853;;;
65012;-;;;
65013;-;;;
65014;-;;;
65015;-;;;
65016;21348;;;
65017;-;;;
65018;18150;;;
65019;18863;;;
65020;-;;;
65021;18891;;;
65022;-;;;
65023;16520;;;
65024;17441;;;
65025;17260;;;
65026;17279;;;
65027;-;;;
65028;-;;;
65029;-;;;
65030;20747;;;
65031;16828;;;
65032;-;;;
65033;17248;;;
65034;14215;;;
65035;15534;;;
65036;17290;;;
65037;17285;;;
65038;18883;;;
65039;12474;;;
65040;-;;;
65041;18860;;;
26001;-;;1096;
26002;-;;-;
26003;21758;;30011;
26004;11334;;1010-1024;
26005;12613;;1011-1012-1348;
26006;14509;;3098-3019-3879;
26007;-;;3178;
26008;37956;;3073;
26009;21695;;-;
26010;-;;-;
26011;21671;;-;
26012;-;;-;
26013;-;;-;
26014;17579;;3098;
26015;-;;-;
26016;22238;;-;
26017;9008;;-;
26018;21864;;-;
26019;20854;;-;
26020;-;;-;
26021;-;;-;
26022;-;;-;
26023;17400;;-;
26024;-;;3211;
26025;-;;-;
26026;-;;;
26027;-;;;
5001;21215;;3113-1120-3110;
5002;22993;;1546;
5003;16214;;1273;
5004;16100;;1845-1187-30081;
5005;-;;1860-10005;
5006;-;;-;
5007;21664;;-;
5008;-;;-;
5009;-;;-;
5010;23110;;-;
5011;-;;-;
5012;-;;-;
5013;-;;-;
5014;-;;-;
5015;-;;-;
5016;-;;-;
5017;-;;-;
5018;-;;-;
5019;-;;-;
5020;-;;-;
5021;-;;-;
5022;-;;;
5023;-;;;
66001;15189;;;
66002;-;;;
66003;23467;;;
66004;20838;;;
66005;22908;;;
66006;22907;;;
66007;17210;;;
66008;-;;;
66009;23482;;;
66010;-;;;
66030;22497;;;
66012;-;;;
66032;23418;;;
66014;-;;;
66015;-;;;
66016;-;;;
66017;-;;;
66018;21284;;;
66019;-;;;
66020;22743;;;
66021;17095;;;
66022;20852;;;
66023;-;;;
66024;18834;;;
66025;17067;;;
66026;-;;;
66027;18532;;;
66028;-;;;
66029;23684;;;
66030;;;;
21401;50008;;;
21402;;;;215090
21403;;;;211050
21404;;;;218413
21405;50003;;;
21406;;;;211020
21407;;;;211021
21408;;;;211025
21409;;;;211057
21410;209141;;;
21411;209141;;;
21412;;19102;;
21413;;;;211060
21414;;;;211076
21415;;;;211075
